ID Number,pH,Total Alkalinity,Total Hardness,Free Chlorine,Total Chlorine,Nitrite,Nitrate,Total Iron,Source of Household Water,Showerhead Installation Time Frame,Frequency of Household Shower Usage,Frequency of Showerhead Cleaning,Showerhead Cleaning Solution,Showerhead Material,Interior Showerhead Finish,Showerhead System Setup,Does the Showerhead Have a Filter?,Showerhead Spray Pattern Description,How is Water Heated,Age of Hot Water Heater,Hot Water Heater Flush Frequency
NTM00246,6.2,60,120,0,0.75,0,1,0.15,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed/Permanent,Yes; plastic screen,Wide Coverage That Feels Like Drenching Rain,Gas Tankless Water Heater,1-5 Years,NA
NTM00380,6.2,180,50,0,0,0,0,0.15,Well-Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Metal,Nickel,Fixed Showerhead w/ Additional Handheld Unit,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,>10 Years,Never
NTM00025,7.2,180,250,0,0,0,0,0.3,Well-Water System,More than 6 Months Ago,14+ times/week,Never,NA,Plastic,Do Not Know,Fixed Showerhead w/ Additional Handheld Unit,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,>10 Years,Never
NTM00279,6.8,100,120,0.5,0,0.3,1,0.3,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Chrome,Fixed/Permanent,Yes,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,1-5 Years,Never
NTM00325,6.8,180,20,0,0,1,0,0.15,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Plastic,Do Not Know,Fixed Showerhead w/ Additional Handheld Unit,Yes,Multiple Interchangeable Spray Patterns,Hot Water Heater,6-10 Years,Yearly
NTM00108,7.8,180,120,0,0,0,1,0.15,Municipal Water System,Do Not Know,5-9 times/week,Once a Year,Bleach and Water,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,6-10 Years,Never
NTM00010,6.2,120,120,0,2,1,0.15,0.6,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Metal,Nickel,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,1-5 Years,Yearly
NTM00019,6.2,120,120,0,0.5,0.3,2,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Yes,Fine Misting of Water (Low Flow),Hot Water Heater,6-10 Years,Never
NTM00261,6.8,80,120,0,0,0,0,0.15,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,>10 Years,Never
NTM00257,7.2,120,120,0,0,0,1,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Plastic,No Finish,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,>10 Years,Never
NTM00381,6.2,40,120,0,0.5,0,1,0.15,Municipal Water System,More than 6 Months Ago,1-4 times/week,Once a Year,Soapy Water,Plastic,Do Not Know,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,Do Not Know,Do Not Know
NTM00435,6.2,180,50,0,0,0,2,0,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,1-5 Years,Every Few Years
NTM00468,< 6.2,40,50,0,0,0,0,0.15,Community Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Combination of Plastic/Metal,Plastic,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,>10 Years,Never
NTM00357,< 6.2,50,425,0,0,0,2,0.3,Well-Water System,More than 6 Months Ago,14+ times/week,Never,NA,Metal,Bronze,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,>10 Years,Never
NTM00487,6.2,80,120,0,0,0,1,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Metal,No Finish,Fixed/Permanent,No,Fine Misting of Water (Low Flow),Hot Water Heater,>10 Years,Never
NTM00219,6.2,120,0,0,2,0,0.15,0,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Metal,No Finish,Fixed/Permanent,No,Fine Misting of Water (Low Flow),Hot Water Heater,>10 Years,Never
NTM00421,6.2,80,50,0,0.5,0,0,0.08,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Bronze,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,>10 Years,Never
NTM00058,6.2,40,23,0,0.5,0,0,0.15,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,Do Not know,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,>10 Years,Never
NTM00220,6.2,80,120,0,0.5,0,1,0.15,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed/Permanent,Yes,Drenching Forced Spray Ideal For Rinsing Shampoo,Gas Tankless Water Heater,<1 Year,Do Not Know
NTM00439,6.8,120,25,0,0.5,0,2,0,Municipal Water System,More than 6 Months Ago,5-9 times/weel,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Do Not know,Multiple Interchangeable Spray Patterns,Hot Water Heater,6-10 Years,Never
NTM00089,6.8,80,120,0,0.5,0,0,0.05,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Plastic,No Finish,Fixed/Permanent,Do Not know,Multiple Interchangeable Spray Patterns,Hot Water Heater,6-10 Years,Every Few Years
NTM00349,6.6,140,250,0,2,0,2,0.15,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Combination of Plastic/Metal,Chrome,Fixed/Permanent,Do Not know,Fine Misting of Water (Low Flow),Hot Water Heater,6-10 Years,Never
